datum,tijd,titel,taal,genre,speelduur,cast,synopsis,beschrijving,ticket-url,film-url
2020-08-14,14:00,Summerland,Engels,drama,99 min,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,"<p>Om zich te kunnen concentreren op haar werk als schrijfster in het midden van WOII, sluit de jonge ambitieuze Alice (Gemma A.) zich op in haar werkkamer op de kliffen van Dover. Afgesloten van de buitenwereld probeert ze wetenschappelijk bewijs te vinden dat mythes en magie niet bestaan. Haar isolement wordt doorbroken wanneer ze de zorg voor de jonge, uit Londen gevluchte Frank op zich moet nemen. Door zijn onschuld en nieuwsgierigheid komen emoties en geheimen uit het verleden naar boven die ze lange tijd heeft proberen te onderdrukken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455825,https://www.de-fabriek.nl/films/417-summerland.html
2020-08-14,16:45,Gli anni più belli,Italiaans,drama,129 min,"Pierfrancesco Favino, Kim Rossi Stuart, Micaela Ramazzotti, Claudio Santamaria","Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.","<p class=""film__synopsis__intro""><strong>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.</strong></p><p>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar. Giulio (Pierfrancesco Favino), Gemma (Micaela Ramazzotti), Paolo (Kim Rossi Stuart) en Riccardo (Claudio Santamaria) zijn sinds hun jeugd in de jaren '80 hecht bevriend. Samen groeien ze op, gaan ze door de puberteit en worden ze volwassen. Ze delen momenten van liefde en succes, maar kennen ook tijden van teleurstellingen.Naarmate de jaren verstrijken verliezen de vier vrienden elkaar regelmatig uit het oog, om elkaar steeds weer terug te vinden. Hun vriendschap ontvouwt zich in de schaduw van de Italiaanse geschiedenis van de laatste vier decennia. Na het succes van A Casa Tutti Bene uit 2018 keert regisseur Gabriele Muccino terug in de bioscoop met Gli anni più belli. Na de première in zijn thuisland is de film in Italië uitgegroeid tot een grote bioscoophit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455823,https://www.de-fabriek.nl/films/411-gli+anni+piu+belli.html
2020-08-16,13:30,Berlin Alexanderplatz,"Duits, Engels",drama,183 min,"Welket Bungué, Jella Haase, Martin Wuttke, Albrecht Schuch, Nils Verkooijen",,"<p>Vluchteling Francis maakt de gevaarlijke oversteek van Afrika naar Europa. Als hij uiteindelijk in Berlijn aankomt en aan een nieuw leven begint, zweert hij om dat als een goed mens te doen. Door zijn status als illegale vluchteling blijkt dat echter praktisch onmogelijk. Francis valt in handen van drugsdealer Reinhold. Onder invloed van hem verandert Francis in Franz, een genadeloze crimineel. Het eerlijke leven wat hij probeerde te leiden, is opeens verder weg dan ooit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455856,https://www.de-fabriek.nl/films/409-berlin+alexanderplatz.html
2020-08-18,20:30,Never Rarely Sometimes Always,Engels,drama,101 min,"Sidney Flanigan, Talia Ryder, Théodore Pellerin, Ryan Eggold, Sharon van Etten","Never Rarely Sometimes Always is een intiem portret over twee tienermeiden, die opgroeien in het landelijke Pennsylvania en dat is geschreven en geregisseerd is door Eliza Hittman.","<p class=""film__synopsis__intro""><strong>Never Rarely Sometimes Always is een intiem portret over twee tienermeiden, die opgroeien in het landelijke Pennsylvania en dat is geschreven en geregisseerd is door Eliza Hittman.</strong></p><p>Never Rarely Sometimes Always is een intiem portret over twee tienermeiden, die opgroeien in het landelijke Pennsylvania en dat is geschreven en geregisseerd is door Eliza Hittman. De 17-jarige Autumn (Sidney Flanigan) wordt geconfronteerd met een ongewenste zwangerschap en vanwege een gebrek aan steun in haar omgeving kan ze dit geheim moeilijk delen. Alleen haar nichtje en beste vriendin Skylar (Talia Ryder) begrijpt haar situatie en zonder veel woorden met elkaar te wisselen besluit zij direct om Autumn te helpen. Met het adres van een abortuskliniek in Brooklyn op zak reizen ze samen de staatsgrens over naar New York. Het wordt een emotionele reis waarbij ze meer leren over vriendschap, moed en medeleven.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455851,https://www.de-fabriek.nl/films/407-never+rarely+sometimes+always.html
2020-08-18,20:15,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455847,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-13,20:15,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455821,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-13,20:30,Summerland,Engels,drama,99 min,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,"<p>Om zich te kunnen concentreren op haar werk als schrijfster in het midden van WOII, sluit de jonge ambitieuze Alice (Gemma A.) zich op in haar werkkamer op de kliffen van Dover. Afgesloten van de buitenwereld probeert ze wetenschappelijk bewijs te vinden dat mythes en magie niet bestaan. Haar isolement wordt doorbroken wanneer ze de zorg voor de jonge, uit Londen gevluchte Frank op zich moet nemen. Door zijn onschuld en nieuwsgierigheid komen emoties en geheimen uit het verleden naar boven die ze lange tijd heeft proberen te onderdrukken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455822,https://www.de-fabriek.nl/films/417-summerland.html
2020-08-13,15:00,Gli anni più belli,Italiaans,drama,129 min,"Pierfrancesco Favino, Kim Rossi Stuart, Micaela Ramazzotti, Claudio Santamaria","Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.","<p class=""film__synopsis__intro""><strong>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.</strong></p><p>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar. Giulio (Pierfrancesco Favino), Gemma (Micaela Ramazzotti), Paolo (Kim Rossi Stuart) en Riccardo (Claudio Santamaria) zijn sinds hun jeugd in de jaren '80 hecht bevriend. Samen groeien ze op, gaan ze door de puberteit en worden ze volwassen. Ze delen momenten van liefde en succes, maar kennen ook tijden van teleurstellingen.Naarmate de jaren verstrijken verliezen de vier vrienden elkaar regelmatig uit het oog, om elkaar steeds weer terug te vinden. Hun vriendschap ontvouwt zich in de schaduw van de Italiaanse geschiedenis van de laatste vier decennia. Na het succes van A Casa Tutti Bene uit 2018 keert regisseur Gabriele Muccino terug in de bioscoop met Gli anni più belli. Na de première in zijn thuisland is de film in Italië uitgegroeid tot een grote bioscoophit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/441951,https://www.de-fabriek.nl/films/411-gli+anni+piu+belli.html
2020-08-15,20:30,Crash,"Engels, Zweeds",drama,100 min,"James Spader, Elias Koteas, Holly Hunter, Deborah Kara Unger, Rosanna Arquette",,"<p>Reclameman James Ballard en zijn vrouw Catherine leiden een leven vol vluchtige seksuele ontmoetingen, op zoek naar een zinvolle fysieke ervaring. Na een bijna fatale botsing met de auto van dr. Helen Remington ontdekt James de perverse genoegens van verwrongen staal. Wanneer hij Helen opnieuw ontmoet, leidt de gemeenschappelijke ervaring tot een seksuele relatie. Ze brengt James in contact met Vaughan, de drijvende kracht achter een geobsedeerde groep mensen die zich bezighoudt met het naspelen van beroemde auto-ongelukken. Zo worden ze meegesleurd in een wereld van gevaar, seks en dood. Crash is een cultklassieker uit 1996 van regisseur David Cronenberg, gebaseerd op de roman van J.G. Ballard. Cronenbergs onderzoek naar erotiek en technologie werd dat jaar in Cannes bekroond met de speciale juryprijs voor moed, durf en originaliteit. De controversiële film is deze zomer opnieuw te bewonderen in geheel gerestaureerde 4K-versie.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455841,https://www.de-fabriek.nl/films/410-crash.html
2020-08-15,16:45,Summerland,Engels,drama,99 min,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,"<p>Om zich te kunnen concentreren op haar werk als schrijfster in het midden van WOII, sluit de jonge ambitieuze Alice (Gemma A.) zich op in haar werkkamer op de kliffen van Dover. Afgesloten van de buitenwereld probeert ze wetenschappelijk bewijs te vinden dat mythes en magie niet bestaan. Haar isolement wordt doorbroken wanneer ze de zorg voor de jonge, uit Londen gevluchte Frank op zich moet nemen. Door zijn onschuld en nieuwsgierigheid komen emoties en geheimen uit het verleden naar boven die ze lange tijd heeft proberen te onderdrukken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455835,https://www.de-fabriek.nl/films/417-summerland.html
2020-08-15,20:15,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455834,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-15,13:45,Gli anni più belli,Italiaans,drama,129 min,"Pierfrancesco Favino, Kim Rossi Stuart, Micaela Ramazzotti, Claudio Santamaria","Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.","<p class=""film__synopsis__intro""><strong>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.</strong></p><p>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar. Giulio (Pierfrancesco Favino), Gemma (Micaela Ramazzotti), Paolo (Kim Rossi Stuart) en Riccardo (Claudio Santamaria) zijn sinds hun jeugd in de jaren '80 hecht bevriend. Samen groeien ze op, gaan ze door de puberteit en worden ze volwassen. Ze delen momenten van liefde en succes, maar kennen ook tijden van teleurstellingen.Naarmate de jaren verstrijken verliezen de vier vrienden elkaar regelmatig uit het oog, om elkaar steeds weer terug te vinden. Hun vriendschap ontvouwt zich in de schaduw van de Italiaanse geschiedenis van de laatste vier decennia. Na het succes van A Casa Tutti Bene uit 2018 keert regisseur Gabriele Muccino terug in de bioscoop met Gli anni più belli. Na de première in zijn thuisland is de film in Italië uitgegroeid tot een grote bioscoophit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455837,https://www.de-fabriek.nl/films/411-gli+anni+piu+belli.html
2020-08-15,14:00,Ella Bella Bingo,Nederlands,"animatie, familiefilm",75 min,"Bo Burger, Rosemarie Voogt, Bert Simhoffer, Ida Verspaandonk, Bo Bellamy, Leo Richardson, Jelle Amersfoort, Paul Donkers, Beatrijs Sluijter, Jantine Van den Bosch, Melise de Winter, Simon Zwiers",,"<p>Ella en Henry zijn allerbeste vrienden, ze doen echt alles samen . Maar als op een dag “coolkid” Johny in de stad arriveert, besluit Henry ook vrienden te worden met Johny. Ella voelt zich jaloers en dat gevoel wordt alleen maar erger wanneer Johny ook nog eens een prachtige cross fiets aan Henry cadeau geeft. Dan besluit ze dat het genoeg is en dwingt Henry om te kiezen tussen Johny , of haarzelf. Dat wordt Henry teveel en hij besluit om weg te lopen, pas dan begrijpt ook Ella de magie van vriendschap en samen met Johny besluit ze Henry op te sporen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455831,https://www.de-fabriek.nl/films/423-ella+bella+bingo.html
2020-08-15,16:30,Berlin Alexanderplatz,"Duits, Engels",drama,183 min,"Welket Bungué, Jella Haase, Martin Wuttke, Albrecht Schuch, Nils Verkooijen",,"<p>Vluchteling Francis maakt de gevaarlijke oversteek van Afrika naar Europa. Als hij uiteindelijk in Berlijn aankomt en aan een nieuw leven begint, zweert hij om dat als een goed mens te doen. Door zijn status als illegale vluchteling blijkt dat echter praktisch onmogelijk. Francis valt in handen van drugsdealer Reinhold. Onder invloed van hem verandert Francis in Franz, een genadeloze crimineel. Het eerlijke leven wat hij probeerde te leiden, is opeens verder weg dan ooit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455833,https://www.de-fabriek.nl/films/409-berlin+alexanderplatz.html
